"Bedok South Road Blk 168","SAM","Blk 168 Bedok South Road [outside #01-479]","1.3203","103.94455","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bedok South Road Blk 17","SAM","Blk 17 Bedok South Road [linkway to bus stop]","1.32037","103.93601","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bishan HDB Branch Office","SAM","Blk 512 Bishan St 13 #01-524 [near coffeeshop]","1.34968","103.84998","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bishan Junction 8 - 1","SAM","9 Bishan Place #01-03 [Covered Walkway - facing Bishan Bus Interchange]","1.35054","103.84908","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bishan MRT","SAM","200 Bishan Road [Level 1@ concourse area]","1.35071","103.84814","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Boon Keng NEL Station","SAM","900 Serangoon Road","1.3196","103.86175","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Boon Lay MRT Station","SAM","301 Boon Lay Way [near POSB ATM]","1.33849","103.70566","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Braddell MRT Station","SAM","379 Lor 1 Toa Payoh Braddell MRT Station #B1-03","1.34021","103.84535","","","","","","","","","","","","","","","","","","",""
"Bras Basah PO","SAM","Blk 231 Bain Street #01-03","1.29678","103.85387","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bt Batok MRT","SAM","10 Bukit Batok Central, Level 1 (Behind NTUC Fairprice)","1.34899","103.74956","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bt Merah HDB Branch","SAM","Blk 166 Bt Merah Central, [Outside #02-3531/ NTUC]","1.28312","103.81764","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bugis MRT Station","SAM","220 Victoria Street","1.3005","103.85616","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bugis+","SAM","201 Victoria Street [Level 1, outside Main Entrance]","1.29964","103.85431","","","","","","","","","","","","","","","","","","",""
"Bukit Batok Central PO - 2","SAM","1 Bukit Batok Central Link #05-09 West Mall","1.34991","103.74944","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"Bukit Batok East","SAM","Blk 280 Bukit Batok East Avenue 3 [outside Switchroom]","1.34769","103.75706","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Batok Town Centre - 1","SAM","Blk 630 Bukit Batok Central #01-00 [Outside Bt Batok HDB Branch/near Bukit Batok Bus Interchange]","1.35039","103.75008","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Batok Town Centre - 2","SAM","Blk 630 Bukit Batok Central #01-00 [Outside Bt Batok HDB Branch/near Bukit Batok Bus Interchange]","1.35039","103.75008","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Batok West Avenue 8 Blk 154A","SAM","Blk 154A Bukit Batok West Avenue 8 [outside NTUC FairPrice]","1.34739","103.74371","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Gombak MRT Station","SAM","802 Bukit Batok West Avenue 5 [near gantry area]","1.35863","103.75156","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Bukit Merah Central PO [Weighing Scale]","SAM","Blk 165 Bukit Merah Central #01-3689","1.28315","103.81663","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Merah View","SAM","Blk 114 Bukit Merah View [outside #01-588]","1.28603","103.82231","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Panjang Plaza","SAM","1 Jelebu Road [Level 1 - near #01-26]","1.38055","103.76412","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
