"Ayer Rajah","Posting Box","Ayer Rajah Regional Base ( 6 Ayer Rajah Crescent )","1.29516","103.78799","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Ayer Rajah","Posting Box","Ayer Rajah Avenue ( in front of One North MRT Station )","1.29902","103.7871","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok Reservoir Rd (Blk 644)","1.33087","103.90557","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Kaki Bukit Teck Pk, / Kaki Bukit Rd 3","1.33653","103.9041","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","SPC Petrol Station - Changi Road","1.31866","103.9088","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Kaki Bukit Ave 2 / Eunos Link","1.33493","103.89938","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Lengkong Tiga (Blk 106)","1.32515","103.90999","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Techview Building - 1 Kaki Bukit View","1.33714","103.90965","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Jalan Kembangan ( opp Lengkong Dua )","1.32247","103.91359","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Kaki Bukit Ave 6 ( AUTOBAY @ Kaki Bukit )","1.3409","103.91331","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Kembangam MRT Stn","1.32098","103.91284","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Telok Kurau Road / Lorong L Telok Kurau","1.31197","103.91176","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Shell Ser Stn, East Coast Rd / Karikal Lane","1.30832","103.90939","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Parkway East Hospital ( 321 Joo Chiat Place)","1.3154","103.90949","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Marine Parade Rd (Blk 5000)","1.30975","103.93033","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Marine Parade Rd / Marine Vista","1.30745","103.92015","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","ESSO Service Stn, 590 East Coast Rd","1.31106","103.92024","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Shell Service Stn, 40 Upp East Coast Rd","1.31289","103.9267","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Fidelio St (Opera Estate)","1.31901","103.92423","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Jalan Tua Kong / Figaro Street","1.31769","103.92511","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Caltex Petrol Station - 71 Frankel Ave","1.31545","103.91906","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok South Ave 2 (Blk 12)","1.32129","103.93679","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok South Ave 3 (Blk 167)","1.31962","103.945","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","ESSO Service Stn, 799 Bedok South Ave 1","1.32266","103.93246","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok North St 3 (Blk 537)","1.33241","103.92404","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok North St 1 (Blk 417)","1.32767","103.93045","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Bedok North Ave 2 (Blk 511 Market)","1.33321","103.9304","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
"Bedok","Posting Box","Chai Chee Industrial Park (Entrance)","1.32254","103.92232","","1700","-","1700","-","1700","-","1700","-","1800","-","-","-","-","-","-","-","",""
