"Ghim Moh Estate","Post Office","Blk 21 Ghim Moh Road #01-225","1.3101","103.78855","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Ghim Moh Post Office"
"Harbourfront Centre","Post Office","1 Maritime Square #03-22 HarbourFront Centre","1.26482","103.819","","900","1730","900","1730","900","1730","900","1730","900","1730","900","1330","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Harbourfront Post Office"
"Hougang Central","Post Office","90 Hougang Avenue 10 #04-15A Hougang Mall","1.37283","103.89357","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1600","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Hougang Central Post Office"
"IMM","Post Office","2 Jurong East St.21 #02-55 IMM Building","1.335","103.74689","","930","1800","930","1800","930","2000","930","1800","930","1800","930","1500","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","IMM Post Office"
"Jurong Point","Post Office","1 Jurong West Central 2 #B1-45 Jurong Point","1.34048","103.70672","","930","2130","930","2130","930","2130","930","2130","930","2130","1100","2130","1100","2130","1100","2130","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Jurong Point Post Office"
"Jurong West","Post Office","Blk 492 Jurong West St. 41 #01-42","1.34982","103.72493","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Jurong West Post Office"
"Katong","Post Office","373 Tanjong Katong Road","1.30307","103.89709","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Katong Post Office"
"Killiney Road","Post Office","1 Killiney Road","1.30025","103.84069","","930","2100","930","2100","930","2100","930","2100","930","2100","930","1600","1030","1600","1030","1600","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Killiney Road Post Office"
"Kitchener Road","Post Office","181 Kitchener Road #01-26/27/28 New Park Hotel Shopping Arcade","1.31022","103.85572","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Kitchener Road Post Office"
"Lim Ah Pin Road","Post Office","1 Lim Ah Pin Road","1.36324","103.88772","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Lim Ah Pin Post Office"
